Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
France,FRA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,5.216701899,4.395829023,6.259192475,0.562642713,-0.303447583,3.856210228,2.72563454,5.713220452,3.229649207,-0.375862138,-0.55008357,1.909300708,1.111343399,0.95317102,2.460655439,5.322990551,2.832281994,5.215289184,3.600215919,2.747955958,0.093237511,1.937216444,-0.445947847,2.237700271,2.140300902,1.797298367,2.906210214,4.299775186,4.206767147,2.539932543,2.034896959,0.396088708,0.900782433,2.595343544,1.381277163,2.029399608,2.630405838,-0.409129836,-2.84225994,1.705736039,1.73809954,-0.560196241,1.015004203,1.264571583,2.356523723,1.253935384,2.05394075,0.87593796,
France,FRA,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,,,,,,,,,,,9.33E+11,9.82E+11,1.03E+12,1.09E+12,1.10E+12,1.09E+12,1.13E+12,1.17E+12,1.23E+12,1.27E+12,1.27E+12,1.26E+12,1.28E+12,1.30E+12,1.31E+12,1.34E+12,1.41E+12,1.45E+12,1.53E+12,1.59E+12,1.63E+12,1.63E+12,1.66E+12,1.65E+12,1.69E+12,1.73E+12,1.76E+12,1.81E+12,1.89E+12,1.97E+12,2.02E+12,2.06E+12,2.07E+12,2.08E+12,2.14E+12,2.17E+12,2.21E+12,2.27E+12,2.26E+12,2.20E+12,2.23E+12,2.27E+12,2.26E+12,2.28E+12,2.31E+12,2.37E+12,2.40E+12,2.45E+12,2.47E+12,
France,FRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,,,,,,,,,,,1.31E+11,1.46E+11,1.78E+11,2.31E+11,2.47E+11,3.10E+11,3.20E+11,3.51E+11,4.37E+11,5.30E+11,6.02E+11,5.26E+11,4.96E+11,4.71E+11,4.46E+11,4.68E+11,6.59E+11,8.00E+11,8.73E+11,8.76E+11,1.08E+12,1.07E+12,1.19E+12,1.12E+12,1.18E+12,1.36E+12,1.37E+12,1.25E+12,1.30E+12,1.30E+12,1.18E+12,1.19E+12,1.28E+12,1.57E+12,1.81E+12,1.88E+12,1.98E+12,2.27E+12,2.48E+12,2.27E+12,2.23E+12,2.43E+12,2.26E+12,2.37E+12,2.40E+12,2.06E+12,2.08E+12,2.18E+12,2.33E+12,
France,FRA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,4.385750331,3.561748217,5.431218178,-0.158846828,-0.93040683,3.303347567,2.258512113,5.279965548,2.806206859,-0.817275515,-1.032293779,1.381386887,0.561175522,0.390691265,1.887303116,4.728817921,2.246290845,4.622924552,3.040363759,2.226617993,-0.459903781,1.431600985,-0.876374657,1.857846748,1.771984843,1.437489567,2.542822453,3.91603613,3.672045466,1.840006284,1.294996564,-0.331374911,0.188147164,1.842694466,0.61993735,1.32051755,1.997394442,-0.964145445,-3.340842637,1.204512271,1.247222417,-1.040327116,0.496330815,0.786011754,1.993221688,0.99142068,1.834329506,0.707307616,
France,FRA,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,17962.49674,18750.287,19418.12501,20472.76575,20440.24541,20250.06797,20918.9981,21391.4562,22520.91772,23152.90126,22963.67827,22726.62565,23040.56827,23169.8663,23260.38894,23699.38299,24820.08366,25377.61493,26550.80292,27358.04391,27967.20304,27838.58081,28237.11821,27989.65526,28509.66016,29014.84702,29431.93242,30180.3342,31362.20699,32513.84149,33112.09822,33540.89876,33429.75263,33492.64976,34109.81697,34321.27646,34774.49494,35469.07877,35127.10526,33953.56395,34362.5388,34791.11608,34429.17467,34600.05727,34872.01779,35567.09441,35919.71394,36578.59985,36837.32307,
France,FRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,2514.633209,2783.983168,3371.691577,4337.319979,4608.992376,5756.28128,5897.03612,6445.467062,7988.804209,9642.247347,10914.31891,9481.292608,8906.703581,8414.807982,7913.609292,8260.765873,11563.17502,13961.58183,15147.26162,15111.53257,18564.71762,18318.67283,20162.62986,18931.43808,19882.51205,22820.45327,22951.2239,20809.71864,21532.6479,21426.13286,19294.27375,19356.76311,20632.06097,25269.62338,28831.56865,29725.88059,31166.11349,35446.59558,38533.63523,35101.54549,34362.5388,37138.08753,34395.25084,35867.20254,36186.18613,30896.17606,31183.75301,32633.89396,34836.56364,
France,FRA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,,,,,,,,,,,,,,,,14.72028884,14.2305135,13.90351055,14.56205018,14.46916779,13.08467611,10.73670517,9.590668637,9.191080171,9.084131805,9.170302001,10.57178375,10.28847583,11.67193705,12.0930314,12.17441165,11.40745322,10.77442558,10.03755981,10.56371411,11.53373538,11.38761748,12.43887007,13.43006992,13.87223396,12.90172418,12.74079464,11.48032668,11.13342447,11.23660695,10.75792115,11.23319773,11.6090027,10.72881174,7.849477698,8.037973088,8.817198786,8.032369136,7.878787105,8.029647579,8.902148693,8.566882591,9.241170251,9.133575509,
France,FRA,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,53251969694,53134745143,57172625720,74021959085,89224267881,92438133665,66509593860,56230090219,51245327045,47900899534,50657481877,81908171858,96875362411,1.20E+11,1.24E+11,1.55E+11,1.45E+11,1.52E+11,1.33E+11,1.48E+11,1.85E+11,1.84E+11,1.83E+11,2.05E+11,2.11E+11,1.79E+11,1.79E+11,1.73E+11,2.08E+11,2.41E+11,2.40E+11,2.66E+11,3.15E+11,3.20E+11,2.16E+11,2.17E+11,2.59E+11,2.20E+11,2.26E+11,2.34E+11,2.22E+11,2.16E+11,2.45E+11,2.59E+11,
France,FRA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,,,,,,,,,,,2.9,2.8,3,2.9,3.6,3.9,3.9,4,4,4,4,4.4,4.6,4.6,4.7,4.7,4.5,4.4,4.3,4.2,4.3,4.5,4.4,5,5.2,5.4,5.4,5.3603385,5.097324939,5.05,4.885371085,4.88,4.91,5.19,5.03,4.92,4.86,4.88,4.88,5.12,5.1,4.95,5.01,4.916331223,4.955414733,4.935406534,4.935406534,4.935406534,4.935406534,
France,FRA,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,,,,,,,,,,,4322537000,4669868000,6129090000,7691844000,10299816000,14108601000,14562054000,16448400000,20332840000,24666040000,28258440000,27256240000,26969800000,25647530000,24783241000,25963176000,34865145000,41430004000,44099510000,43223460000,54764800000,57267000000,61904920000,66460000000,72723040000,86748840000,87444900000,78826457812,77616966846,76882210000,67602299459,68382464000,74133635000,96788829000,1.08E+11,1.10E+11,1.15E+11,1.32E+11,1.46E+11,1.41E+11,1.38E+11,1.45E+11,1.37E+11,1.41E+11,1.44E+11,1.23E+11,1.25E+11,1.31E+11,1.40E+11,
